id;VALOR;MEDIA;DESVIACION;DESVIACION_AL_CUADRADO
1;3;11,875;-8,875;78,765625
2;19;11,875;7,125;50,765625
3;10;11,875;-1,875;3,515625
4;15;11,875;3,125;9,765625
5;14;11,875;2,125;4,515625
6;12;11,875;0,125;0,015625
7;9;11,875;-2,875;8,265625
8;8;11,875;-3,875;15,015625
9;11;11,875;-0,875;0,765625
10;12;11,875;0,125;0,015625
11;11;11,875;-0,875;0,765625
12;12;11,875;0,125;0,015625
13;13;11,875;1,125;1,265625
14;11;11,875;-0,875;0,765625
15;14;11,875;2,125;4,515625
16;16;11,875;4,125;17,015625
